,County,Income per Capita,Population,Doses,Doses per Capita
365,"Gulf, FL",46346,13639,,
366,"Hamilton, FL",27643,14428,,
367,"Hardee, FL",29545,26937,,
368,"Hendry, FL",33204,42022,,
369,"Hernando, FL",38223,193920,,
370,"Highlands, FL",34480,106221,,
371,"Hillsborough, FL",48452,1471968,,
372,"Holmes, FL",31822,19617,,
373,"Indian River, FL",80818,159923,,
374,"Jackson, FL",36014,46414,,
375,"Jefferson, FL",41989,14246,,
376,"Lafayette, FL",27645,8422,,
377,"Lake, FL",43425,367118,,
378,"Lee, FL",52064,770577,,
379,"Leon, FL",46394,293582,,
380,"Levy, FL",37680,41503,,
381,"Liberty, FL",25973,8354,,
382,"Madison, FL",33859,18493,,
383,"Manatee, FL",48618,403253,,
384,"Marion, FL",38293,365579,,
385,"Martin, FL",85394,161000,,
386,"Miami-Dade, FL",54902,2716940,,
387,"Monroe, FL",101262,74228,,
388,"Nassau, FL",61329,88625,,
389,"Okaloosa, FL",50681,210738,,
390,"Okeechobee, FL",31971,42168,,
391,"Orange, FL",46250,1393452,,
392,"Osceola, FL",35258,375751,,
393,"Palm Beach, FL",83268,1496770,,
394,"Pasco, FL",42070,553947,,
395,"Pinellas, FL",55607,974996,,
396,"Polk, FL",36649,724777,,
397,"Putnam, FL",32949,74521,,
398,"St. Johns, FL",70498,264672,,
399,"St. Lucie, FL",41125,328297,,
400,"Santa Rosa, FL",45981,184313,,
401,"Sarasota, FL",66878,433742,,
402,"Seminole, FL",51156,471826,,
403,"Sumter, FL",48387,132420,,
404,"Suwannee, FL",33882,44417,,
405,"Taylor, FL",31054,21569,,
406,"Union, FL",22440,15237,,
407,"Volusia, FL",44180,553284,,
408,"Wakulla, FL",37660,33739,,
409,"Walton, FL",64481,74071,,
410,"Washington, FL",30268,25473,,
411,"Appling, GA",35514,18386,,
412,"Atkinson, GA",31542,8165,,
413,"Bacon, GA",33393,11164,,
414,"Baker, GA",41323,3038,,
415,"Baldwin, GA",34128,44890,,
416,"Banks, GA",35151,19234,,
417,"Barrow, GA",37436,83240,,
418,"Bartow, GA",39505,107738,,
419,"Ben Hill, GA",33228,16700,,
420,"Berrien, GA",32935,19397,,
421,"Bibb, GA",42696,153159,,
422,"Bleckley, GA",35272,12873,,
423,"Brantley, GA",28248,19109,,
424,"Brooks, GA",37655,15457,,
425,"Bryan, GA",53853,39627,,
426,"Bulloch, GA",32724,79608,,
427,"Burke, GA",38481,22383,,
428,"Butts, GA",35017,24936,,
429,"Calhoun, GA",27390,6189,,
430,"Camden, GA",37184,54666,,
431,"Candler, GA",34192,10803,,
432,"Carroll, GA",39147,119992,,
433,"Catoosa, GA",36399,67580,,
434,"Charlton, GA",25020,13392,,
435,"Chatham, GA",48294,289430,,
436,"Chattahoochee, GA",30062,10907,,
437,"Chattooga, GA",31577,24789,,
438,"Cherokee, GA",52953,258773,,
439,"Clarke, GA",34869,128331,,
440,"Clay, GA",35142,2834,,
441,"Clayton, GA",28665,292256,,
442,"Clinch, GA",39136,6618,,
443,"Cobb, GA",59194,760141,,
444,"Coffee, GA",34073,43273,,
445,"Colquitt, GA",34780,45600,,
446,"Columbia, GA",51184,156714,,
447,"Cook, GA",33845,17270,,
448,"Coweta, GA",48424,148509,,
449,"Crawford, GA",34100,12404,,
450,"Crisp, GA",35421,22372,,
451,"Dade, GA",34639,16116,,
452,"Dawson, GA",46278,26108,,
453,"Decatur, GA",38393,26404,,
454,"DeKalb, GA",53086,759297,,
455,"Dodge, GA",31970,20605,,
456,"Dooly, GA",34331,13390,,
457,"Dougherty, GA",37050,87956,,
458,"Douglas, GA",36497,146343,,
459,"Early, GA",40465,10190,,
460,"Echols, GA",28211,4006,,
461,"Effingham, GA",42271,64296,,
462,"Elbert, GA",35550,19194,,
463,"Emanuel, GA",33921,22646,,
464,"Evans, GA",35109,10654,,
465,"Fannin, GA",37385,26188,,
466,"Fayette, GA",67467,114421,,
467,"Floyd, GA",39314,98498,,
468,"Forsyth, GA",63864,244252,,
469,"Franklin, GA",34017,23349,,
470,"Fulton, GA",88832,1063937,,
471,"Gilmer, GA",35576,31369,,
472,"Glascock, GA",34786,2971,,
473,"Glynn, GA",48170,85292,,
474,"Gordon, GA",35557,57963,,
475,"Grady, GA",36527,24633,,
476,"Greene, GA",58708,18324,,
477,"Gwinnett, GA",42902,936250,,
478,"Habersham, GA",34831,45328,,
479,"Hall, GA",45576,204441,,
480,"Hancock, GA",31297,8457,,
481,"Haralson, GA",37582,29792,,
482,"Harris, GA",49471,35236,,
483,"Hart, GA",37701,26205,,
484,"Heard, GA",31965,11923,,
485,"Henry, GA",40182,234561,,
486,"Houston, GA",44059,157863,,
487,"Irwin, GA",36036,9416,,
488,"Jackson, GA",43508,72977,,
489,"Jasper, GA",38568,14219,,
490,"Jeff Davis, GA",32069,15115,,
491,"Jefferson, GA",36033,15362,,
492,"Jenkins, GA",31635,8676,,
493,"Johnson, GA",26341,9643,,
494,"Jones, GA",38526,28735,,
495,"Lamar, GA",34375,19077,,
496,"Lanier, GA",28991,10423,,
497,"Laurens, GA",38995,47546,,
498,"Lee, GA",49274,29992,,
499,"Liberty, GA",37424,61435,,
500,"Lincoln, GA",38527,7921,,
501,"Long, GA",27232,19559,,
502,"Lowndes, GA",38706,117406,,
503,"Lumpkin, GA",38450,33610,,
504,"McDuffie, GA",38456,21312,,
505,"McIntosh, GA",30981,14378,,
506,"Macon, GA",32343,12947,,
507,"Madison, GA",36879,29880,,
508,"Marion, GA",29849,8359,,
509,"Meriwether, GA",36050,21167,,
510,"Miller, GA",48011,5718,,
511,"Mitchell, GA",37608,21863,,
512,"Monroe, GA",46563,27578,,
513,"Montgomery, GA",31037,9172,,
514,"Morgan, GA",51677,19276,,
515,"Murray, GA",30964,40096,,
